date,open,high,low,close,volume,turn
2013-5-10,2519.52,2546.98,2515.15,2540.84,48816728,50896691200
2013-5-13,2542.4,2547.6,2516.73,2530.77,54092148,55155093504
2013-5-14,2526,2526.14,2479.87,2493.34,54880064,56144572416
2013-5-15,2493.97,2507.42,2491.92,2506.92,44189660,47578587136
2013-5-16,2501.12,2553.06,2487.76,2552.71,70796184,76830433280
2013-5-17,2550.45,2598.71,2547.78,2592.05,81850800,83599368192
2013-5-20,2597.14,2627.62,2590.05,2609.61,86337800,94059413504
2013-5-21,2607.38,2617.39,2594.25,2614.85,71505992,75837816832
2013-5-22,2613.4,2630.07,2603.75,2618.03,74191816,78224130048
2013-5-23,2604.92,2624.08,2579.35,2582.85,84825368,81359904768
2013-5-24,2591.41,2608.35,2572.87,2597.23,60739668,62831235072
2013-5-27,2593.52,2611.97,2589.74,2599.59,64195080,66701651968
2013-5-28,2600.62,2644.36,2585.89,2644.36,84196112,86756737024
2013-5-29,2648.92,2661.23,2640.87,2642.56,79277712,81953849344
2013-5-30,2633.96,2647.43,2623.58,2634.32,70146368,71045062656
2013-5-31,2638.71,2645.57,2604.75,2606.42,62528532,65904435200
2013-6-3,2605.97,2625.93,2596.05,2602.62,59774468,63008706560
2013-6-4,2600.5,2600.5,2556.06,2565.66,66315752,63139422208
2013-6-5,2565.33,2570.03,2545.18,2560.54,45637192,47367057408
2013-6-6,2552.82,2557.67,2525.31,2527.84,52496528,54448111616
2013-6-7,2526.9,2538.88,2475.68,2484.15,61030896,61366173696
2013-6-13,2448.72,2448.72,2375.2,2399.93,69730064,64081596416
2013-6-14,2404.41,2420.36,2396.49,2416.77,55964536,53686779904
2013-6-17,2422.76,2427.53,2394.38,2403.84,50395712,51983757312
2013-6-18,2413.09,2424.2,2393.32,2418.75,48630380,48792088576
2013-6-19,2408.28,2408.28,2366.35,2400.77,54346260,52979990528
2013-6-20,2386.1,2386.1,2320.23,2321.47,55201020,52171735040
2013-6-21,2283.14,2332.84,2269.57,2317.38,58705800,53486133248
2013-6-24,2308.07,2308.07,2164.32,2171.21,86597256,73731932160
2013-6-25,2146.05,2169.21,2023.17,2165.41,107554880,87090397184
2013-6-26,2170.33,2181.02,2131.86,2168.3,79256424,67298430976
2013-6-27,2172.85,2200.21,2153.17,2160.74,75406752,62927081472
2013-6-28,2149.03,2227.46,2139.37,2200.63,79451328,64106049536
2013-7-1,2187.09,2213.97,2166.35,2213.32,57726228,51874734080
2013-7-2,2211.8,2226.11,2191.8,2221.98,61838848,59632902144
2013-7-3,2211.04,2211.04,2169.13,2203.83,65836024,59536760832
2013-7-4,2187.17,2245.9,2176.08,2221.98,72581144,67189379072
2013-7-5,2227.35,2252.03,2225.05,2226.85,61821776,58424401920
2013-7-8,2194.41,2205.21,2162.18,2163.62,54782492,49288253440
2013-7-9,2160.7,2174.79,2149.79,2162.66,41494432,37246189568
2013-7-10,2163.1,2224.13,2157.47,2224.07,61149780,54373756928
2013-7-11,2232.15,2351.22,2232.15,2326.68,125793192,1.11E+11
2013-7-12,2319.02,2331.99,2274.07,2275.37,89733080,82064556032
2013-7-15,2289.76,2336.04,2274.66,2307.3,74757888,71796187136
2013-7-16,2300.83,2317.85,2281.93,2317.85,65624156,62085632000
2013-7-17,2311.43,2326.92,2281.61,2282.84,67655248,63229063168
2013-7-18,2272.95,2282.43,2241.92,2245.33,57144292,51937234944
2013-7-19,2248.12,2257.91,2188.75,2190.48,70535280,66179072000
2013-7-22,2170.09,2203.06,2159.81,2202.18,53283496,48872947712
2013-7-23,2211.59,2276.74,2206.76,2265.84,74809728,69255421952
2013-7-24,2253.37,2265.58,2217.18,2249.14,69592304,69279825920
2013-7-25,2255.22,2268.84,2227.85,2237.67,65774316,60558364672
